active_time_sec,wall_time_sec,bytes_sent,rss_bytes
0.104566,0.108549,16777216,37.543
0.207629,0.211766,402653184,149.793
0.307573,0.311821,855638016,293.594
0.408032,0.412385,1291845632,405.582
0.511078,0.515617,1811939328,533.605
0.611731,0.616419,2214592512,629.559
0.712897,0.717681,2684354560,741.805
0.814761,0.819651,3120562176,853.793
0.914752,0.919766,3590324224,981.559
1.01932,1.0245,4060086272,1109.58
1.1207,1.12597,4580179968,1269.68
1.22126,1.22667,5083496448,1397.7
1.32188,1.3274,5620367360,1541.76
1.42396,1.42957,6140461056,1685.56
1.52393,1.52965,6576668672,1813.58
1.62567,1.63149,7063207936,1925.57
1.72735,1.73334,7499415552,2037.56
1.82786,1.83397,7935623168,2165.58
1.92837,1.93461,8422162432,2293.61
2.02864,2.03499,8824815616,2405.59
2.12847,2.135,9193914368,2485.77
2.2291,2.23573,9613344768,2549.65
2.32982,2.33656,10032775168,2597.76
2.42976,2.43663,10385096704,2645.61
